DataSource,Area/Building,Location (Room/Level),Mechanical Activity (System),Original Duration (Days),Current Progress %,Key Predecessor Activity,Predecessor Finish Date,Calculated Mech. Start Date,Calculated Mech. Finish Date,Remarks / Justification,HVAC Manpower,Firefighting Manpower,Fire Alarm Manpower,Security Subcontractor,Total Manpower
2025/08/02,Mechanical Plan,PE-263 380 KV GIS Building Ground Floor,Firefighting,15,0٫6,GIS Hall cable Trays,2025/06/08,2025/06/09,2025/06/24,on going 4th system LCC FM-200 piping network,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 380 KV GIS Building Ground floor,Fire Alarm ( conduiting+cabling ),15,0٫8,GIS Hall cable Trays,2025/06/08,2025/06/09,2025/06/17,on going. conduit for ceiling devices almost completed.,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( RGS Conduit Installation ),0,0٫7,,,2025/07/13,2025/07/06,"Ongoing. After completion, cable pulling activities will be started ",19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Cable pulling ),0,0 %,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Camera Installation),0,0 %,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Card Readers installation),0,0٫2,,,,,8 Waterproof boxes installed- Materials are not available,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Access Control Instsllstion),0,0 %,,,,,Materials are not available,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Emergency Break Glass),0,0٫18,,,,,7 Waterproof boxes installed- Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Doors megnatic locks),0,0٫18,,,,,10 Waterproof boxes installed- Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Exit Push Buttons),0,0٫18,,,,,7 Waterproof boxes installed- Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( telecom room installation),0,0 %,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Switches installation),0,0 %,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building Ground Floor,Security System ( Intercom & IP telephone),0,0 %,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building External Ducts for Pacu 4A&4B,HVAC System,0,0٫2,,,,,,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 Control Building External Ducts for Pacu 5A&5B,HVAC System,0,0٫1,,,,,Materials are available ,19,9,10,10,48
2025/08/02,Mechanical Plan,PE-263 380 KV GIS Building Ground floor ( LCC PANEL ),Fire alarm ( device installation ),0,0٫53,,,,,detectors bases inside LCC completed .remaining will be done with cylinder delivery.,19,9,10,10,48
